s,cost for k=1,cost for k=2,cost for k=3,cost for k=4,cost for k=5
0.5,0.07896893822264109,0.08730935010904337,0.08829289013751937,0.08517886184615418,0.08544101679818072
0.51,0.08071250862947388,0.08945183504270149,0.09090779815460547,0.08773788404762632,0.0882631819729954
0.52,0.08247353727827168,0.09162497080827685,0.09354409021435899,0.09035350648865943,0.09115880674096527
0.53,0.08425106578388585,0.09382796998222799,0.09605128150839738,0.09302574190765861,0.094128542763115
0.54,0.0860440699266198,0.09605996480816878,0.09860235705760144,0.09575451687193438,0.09717296169518261
0.55,0.08785145876023141,0.09832000508881207,0.1011967269609875,0.09853966726769199,0.10029254941345486
0.56,0.08967207389850511,0.10060705623637166,0.10383370782193904,0.10138093382402505,0.10348770017278365
0.5700000000000001,0.09150468899648131,0.10291999750219105,0.10651251953924457,0.10427795769516165,0.10675871072020944
0.5800000000000001,0.09334800944249014,0.10525762040691156,0.10923228224767192,0.10723027612683361,0.11010577438984329
0.5900000000000001,0.09520067227706422,0.10761862739290835,0.11199201343373041,0.11023731823419386,0.11352897520687505
0.6000000000000001,0.09706124635459326,0.11000163072099323,0.11479062525317224,0.11329840092017537,0.11697205789673869
0.6100000000000001,0.09892823276321885,0.11240515163349366,0.11762692207754163,0.11641272496453625,0.12014148992220731
0.6200000000000001,0.100800065517937,0.11478337627292876,0.12049959829766752,0.11957937131505081,0.1233628626080004
0.6300000000000001,0.10267511254117265,0.11711156319242451,0.1234072364123953,0.12279729761335231,0.12663507186071604
0.6400000000000001,0.10455167694420249,0.11945005015698189,0.1263483054310411,0.1260653349887889,0.1299568857074392
0.6500000000000001,0.10642799862172121,0.12179692068510024,0.1292024723148873,0.12932115961800142,0.1333269414974295
0.6600000000000001,0.10830225617057113,0.12415017515753944,0.13196546858239272,0.1323240376076517,0.1367437434503497
0.6700000000000002,0.11017256914217512,0.1265077325524418,0.13474530258543788,0.1353550619170839,0.1402056605855209
0.6800000000000002,0.11203700063653207,0.12886743258362193,0.13753982413935278,0.13841223888336213,0.14371092506642352
0.6900000000000002,0.11389356024375183,0.13122703825416024,0.14034678297194372,0.14149345905079078,0.14725763099406808
0.7000000000000002,0.11574020733702478,0.13358423883528212,0.14316383069463987,0.1445964980321833,0.15084373368191029
0.7100000000000002,0.11757485471865312,0.13593665327809776,0.14598852325610864,0.14771901786627775,0.1544670494436626
0.7200000000000002,0.11939537261831817,0.138281834063126,0.14881832389140676,0.15085856889126747,0.15812525592364596
0.7300000000000002,0.12119959304014528,0.14061727148964012,0.15165060657693266,0.15401259215189336,0.16181589299722046
0.7400000000000002,0.12298531445236252,0.1429403984037719,0.154482659998354,0.1571784223546838,0.1655363642663191
0.7500000000000002,0.12475030681046098,0.1452485953610049,0.15731169203531747,0.16035329138273924,0.1692033737436802
0.7600000000000002,0.12649231690177362,0.14753919621521872,0.16013483476312554,0.16353433237795187,0.1728857564447803
0.7700000000000002,0.12820907399632378,0.14980949412282044,0.16294914996771168,0.16671858439474366,0.17658684431688446
0.7800000000000002,0.129898295785692,0.1520567479467742,0.16575163516618738,0.1699029976253299,0.1803035768566066
0.7900000000000003,0.13155769458853447,0.1542781890415303,0.16853923012101754,0.1730844391921933,0.1836945611312622
0.8000000000000003,0.1331849837983074,0.15647102839602478,0.17130882383153342,0.17625969949893092,0.18697374401991013
0.8100000000000003,0.13477788454573886,0.15862253007324117,0.17405726198206548,0.17942549912594272,0.19023998848539822
0.8200000000000003,0.13633413254569093,0.160628509908057,0.1767813548215255,0.1825784962526315,0.1934897916132456
0.8300000000000003,0.13785148509530668,0.16259360016107482,0.17932452917565045,0.18554282257908392,0.1967195997163799
0.8400000000000003,0.13932772818778694,0.16451507299702656,0.18172912774724725,0.1882648056862989,0.19992581728638067
0.8500000000000003,0.1407606837038273,0.16639022990905303,0.1840913526781213,0.1909506057257279,0.2031048163840298
0.8600000000000003,0.14214821664071242,0.16821641033553028,0.18640809533769384,0.19359689066075994,0.20625294642824868
0.8700000000000003,0.14348824233734422,0.1699910003321004,0.188676276586074,0.19620034056751448,0.20936654433790225
0.8800000000000003,0.14477873365211757,0.17171144124892637,0.190892856457365,0.1987576576402397,0.21244194497664423
0.8900000000000003,0.14601772804957555,0.17337523836157773,0.193054843892095,0.20126557632918787,0.215475491847009
0.9000000000000004,0.14720333455120801,0.1749799694028017,0.195159306461906,0.20372087355385815,0.2184635479763893
0.9100000000000004,0.14833374050562292,0.1765232929417894,0.19720338002814802,0.20612037893233393,0.22140250693445007
0.9200000000000004,0.14940721813363964,0.17800295655741863,0.1991842782750801,0.20846098496582163,0.22428880391895248
0.9300000000000004,0.15042213080462907,0.17941680475237137,0.20109930205801557,0.21073965711644857,0.22711892684496335
0.9400000000000004,0.15137693900167035,0.1807627865559909,0.20294584850698213,0.2129534437159353,0.22988942737103604
0.9500000000000004,0.15227020593479706,0.1820389627652645,0.2047214198273149,0.21509948564294418,0.23259693179520863
0.9600000000000004,0.1531006027637595,0.1832435127753867,0.20642363174006148,0.21717502570773,0.23523815175359541
0.9700000000000004,0.15386691339431183,0.184374740953956,0.20805022150714597,0.21917741768418053,0.23777631881575087
0.9800000000000004,0.15456803881502454,0.18543108251596518,0.20959905548890428,0.2211041349314372,0.24018171057658166
0.9900000000000004,0.15520300094498377,0.1864111088603287,0.21106813618483197,0.22295277854999956,0.24251048144583054
1.0000000000000004,0.15577094596643842,0.18731353233270906,0.21245560871215116,0.22472108502052146,0.24475990459438746
1.0100000000000005,0.15627114712043966,0.18813721038380493,0.21375976668105312,0.22640693327736178,0.24692738941814996
1.0200000000000005,0.1567030069477528,0.18888114909701062,0.21497905743017073,0.228008351173318,0.24901048933841394
1.0300000000000005,0.15706605896173256,0.18954450606436232,0.21611208659090167,0.22952352129678025,0.25100690897878886
1.0400000000000005,0.1573599687444071,0.19012659259492032,0.21715762195459723,0.2309507861077556,0.252914510676977
1.0500000000000005,0.15758453446163656,0.19062687524509642,0.21811459662226135,0.23228865236473786,0.25473132029518186
1.0600000000000005,0.15773968679785233,0.19104497666589054,0.21898211142222068,0.23353579482018477,0.2560540048779737
1.0700000000000005,0.15782548831547588,0.1913806757674411,0.2197594365871276,0.23469105916832123,0.257208148506492
1.0800000000000005,0.15784213224861288,0.1916339072066898,0.22044601268759773,0.23575346423505353,0.2582593162467868
1.0900000000000005,0.1577899407449492,0.19180476020921264,0.2210414508256596,0.23672220340585817,0.2592067656831204
1.1000000000000005,0.15766936257391068,0.19189347674133736,0.22154553209695388,0.23759664529354274,0.26004994818750454
1.1100000000000005,0.15748097032301292,0.19190044905347317,0.22195820633617994,0.23837633365367514,0.26078850837154066
1.1200000000000006,0.15722545710790803,0.19182621662008567,0.22227959016559437,0.23869075686650504,0.26142228272888707
1.1300000000000006,0.15690363282486508,0.19167146250589018,0.22250996437134862,0.23889067700878236,0.2619512974918005
1.1400000000000006,0.1565164199772953,0.19143700919158813,0.22264977063706712,0.23899300649296762,0.2623757657307203
1.1500000000000006,0.15606484911041058,0.19112381389578337,0.22269960766826366,0.23899844924583555,0.2626960837309393
1.1600000000000006,0.15555005389016976,0.19073296343257187,0.22266022674493394,0.23890787307348374,0.2629128266850077
1.1700000000000006,0.1549732658643195,0.1902656686466749,0.22253252674291557,0.23872230413140214,0.2630267437435752
1.1800000000000006,0.154335808944556,0.18972325846987237,0.22231754866735645,0.2384429208752071,0.2630387524708996
1.1900000000000006,0.15363909364963696,0.18910717364389046,0.22201646974385966,0.23807104754187508,0.2629499327541802
1.2000000000000006,0.1528846111496574,0.18841896015580087,0.22163059711457556,0.23760814721306472,0.26276152021822957
1.2100000000000006,0.1520739271516887,0.18766026243241857,0.22116136118769336,0.23705581451331043,0.26247489919875616
1.2200000000000006,0.15120867566658233,0.18683281634015225,0.22061030868945483,0.2364157679965075,0.26209159532871135
1.2300000000000006,0.1502905526959874,0.18593844203629292,0.21997909546798694,0.23568984227421336,0.2616132677927672
1.2400000000000007,0.1493213098775397,0.18497903671684382,0.21926947909795708,0.23487997993888807,0.26104170130505683
1.2500000000000007,0.14830274812479824,0.18395656730474103,0.21848331133431573,0.2339882233343192,0.2603787978648592
1.2600000000000007,0.14723671129684748,0.1828730631207144,0.21762253046224592,0.23301670622416007,0.2596265683439811
1.2700000000000007,0.1461250799305956,0.18173060857713685,0.2166891535889227,0.23196764540779796,0.25878712395820713
1.2800000000000007,0.14496976506671508,0.18053133593304424,0.21568526892083248,0.2308433323306978,0.25786266767341437
1.2900000000000007,0.14377270219792185,0.17927741814612114,0.21461302806826435,0.2296461247339923,0.2568554855948134
1.3000000000000007,0.14253584536591882,0.1779710618548776,0.2134746384161964,0.22837843838544872,0.2557679383853317
1.3100000000000007,0.14126116143086048,0.17661450052153088,0.21227235559820457,0.22704273893108579,0.25460245275644905
1.3200000000000007,0.1399506245346772,0.17520998776329616,0.21100847610726753,0.22564153390369038,0.2533615130718781
1.3300000000000007,0.13860621077704385,0.173759790896914,0.2096853300744654,0.22417736492133636,0.25204765310139077
1.3400000000000007,0.13722989312023492,0.1722661847183372,0.2083052742436081,0.2226528001057703,0.25066344795888523
1.3500000000000008,0.13582363653659263,0.1707314455366089,0.20687068516683602,0.22107042674726823,0.2492115062555016
1.3600000000000008,0.13438939340987235,0.16915784547809362,0.2053839526432181,0.21943284423928114,0.24769446249526653
1.3700000000000008,0.13292909919934995,0.16754764707443437,0.20384747341939843,0.21774265730295753,0.24611496973742797
1.3800000000000008,0.13144466837328467,0.16590309814489237,0.20226364516840376,0.21600246951844324,0.24447569254634918
1.3900000000000008,0.1299379906161587,0.16422642698113052,0.20061577290648966,0.21421487717677962,0.2427793002466142
1.4000000000000008,0.12841092731206316,0.1625198378400242,0.19887741432690995,0.21238246346324532,0.24102846049786567
1.4100000000000008,0.12686530830468523,0.16078550674775519,0.19710015567029418,0.2105077929801578,0.2392258332008947
1.4200000000000008,0.12530292893258144,0.1590255776162608,0.19528638244293584,0.20859340661446507,0.23737406474362435
1.4300000000000008,0.12372554733679834,0.1572421586710959,0.19343845203956211,0.20664181675294752,0.23547578259292334
1.4400000000000008,0.12213488203643351,0.1554373191879179,0.19155868963807857,0.2046555028455155,0.23353359023563813
1.4500000000000008,0.12053260976641013,0.15361308653311875,0.18964938442091042,0.20263690731492917,0.23155006246986187
1.4600000000000009,0.11892036357057448,0.15177144350262786,0.18771278611916659,0.20058843180931274,0.2295277410452854
1.4700000000000009,0.1172997311422089,0.14991432595157042,0.18575110187420496,0.198512433792057,0.22746913064947893
1.4800000000000009,0.11567225340318056,0.14804362070629318,0.18376649340971152,0.19641122346212067,0.2253766952351521
1.4900000000000009,0.11403942331221675,0.14616116374926932,0.18176107450612158,0.194287060996349,0.22325285468183617
1.5000000000000009,0.11240268489219608,0.14426873866653708,0.1797369087680865,0.1921421541042064,0.22109998178400034
